"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2019","115.645,34","116.530,28","117.085,94","115.599,16","3,67M","-0,76%"
"27.12.2019","116.533,98","117.205,09","117.802,86","115.995,12","3,91M","-0,57%"
"26.12.2019","117.203,20","115.864,38","117.219,91","115.672,53","3,79M","1,16%"
"23.12.2019","115.863,29","115.118,96","115.863,29","114.964,34","4,00M","0,64%"
"20.12.2019","115.121,08","115.133,12","115.170,58","114.525,95","6,89M","-0,01%"
"19.12.2019","115.131,25","114.313,35","115.132,01","113.712,39","5,78M","0,71%"
"18.12.2019","114.314,65","112.618,25","114.338,51","112.299,90","7,94M","1,51%"
"17.12.2019","112.615,66","111.896,54","112.695,34","111.896,54","5,35M","0,64%"
"16.12.2019","111.896,04","112.565,28","113.196,83","111.896,04","6,08M","-0,59%"
"13.12.2019","112.564,86","112.204,76","112.829,31","111.779,96","7,71M","0,33%"
"12.12.2019","112.199,74","110.963,08","112.444,74","110.963,08","5,68M","1,11%"
"11.12.2019","110.963,87","110.672,07","111.226,71","110.529,50","5,15M","0,26%"
"10.12.2019","110.672,01","110.973,03","111.184,37","110.132,84","4,76M","-0,28%"
"09.12.2019","110.977,23","111.125,10","111.453,05","110.869,87","4,99M","-0,13%"
"06.12.2019","111.125,75","110.622,92","111.429,66","110.622,92","4,97M","0,46%"
"05.12.2019","110.622,27","110.297,33","111.072,80","110.007,67","4,40M","0,29%"
"04.12.2019","110.300,93","108.961,96","110.300,93","108.961,96","4,89M","1,23%"
"03.12.2019","108.956,02","108.930,97","109.197,77","108.190,46","5,22M","0,03%"
"02.12.2019","108.927,83","108.233,28","109.278,67","108.233,28","4,71M","0,64%"
"29.11.2019","108.233,28","108.290,09","108.707,55","107.759,39","4,19M","-0,05%"
"28.11.2019","108.290,09","107.707,75","108.333,02","107.148,02","3,67M","0,54%"
"27.11.2019","107.707,75","107.059,40","107.991,15","106.312,21","4,42M","0,61%"
"26.11.2019","107.059,40","108.423,93","108.423,93","106.413,93","6,90M","-1,26%"
"25.11.2019","108.423,93","108.692,28","108.914,73","108.079,87","4,51M","-0,25%"
"22.11.2019","108.692,28","107.496,51","108.692,28","107.156,64","4,80M","1,11%"
"21.11.2019","107.496,73","105.866,12","107.496,73","105.864,47","5,82M","1,54%"
"19.11.2019","105.864,18","106.268,82","106.949,81","105.366,68","3,61M","-0,38%"
"18.11.2019","106.269,25","106.566,04","107.519,18","106.246,06","4,92M","-0,27%"
"14.11.2019","106.556,88","106.052,39","106.757,61","105.820,37","5,36M","0,47%"
"13.11.2019","106.059,95","106.751,11","106.785,79","105.260,78","5,34M","-0,65%"
"12.11.2019","106.751,11","108.367,80","108.367,80","106.232,45","5,22M","-1,49%"
"11.11.2019","108.367,44","107.621,72","108.367,44","106.813,53","3,93M","0,69%"
"08.11.2019","107.628,98","109.572,16","109.572,16","107.126,65","5,42M","-1,78%"
"07.11.2019","109.580,57","108.360,22","109.671,91","108.360,22","6,08M","1,13%"
"06.11.2019","108.360,22","108.719,02","109.633,14","107.445,54","5,51M","-0,33%"
"05.11.2019","108.719,02","108.778,78","109.342,86","108.252,78","5,66M","-0,06%"
"04.11.2019","108.779,33","108.195,72","109.352,13","108.195,72","5,18M","0,54%"
"01.11.2019","108.195,63","107.220,94","108.496,08","107.220,43","5,47M","0,91%"
"31.10.2019","107.219,83","108.403,12","108.403,12","106.355,82","5,38M","-1,10%"
"30.10.2019","108.407,54","107.557,11","108.407,54","106.622,01","5,45M","0,79%"
"29.10.2019","107.556,26","108.189,32","108.195,22","107.313,05","4,31M","-0,58%"
"28.10.2019","108.187,06","107.365,66","108.392,72","107.362,47","3,97M","0,77%"
"25.10.2019","107.363,77","106.989,54","108.083,26","106.989,54","5,40M","0,35%"
"24.10.2019","106.986,15","107.552,72","107.744,08","106.592,72","5,62M","-0,52%"
"23.10.2019","107.543,59","107.381,11","107.958,82","107.040,79","4,66M","0,15%"
"22.10.2019","107.381,11","106.022,71","107.420,73","105.927,32","5,22M","1,28%"
"21.10.2019","106.022,28","104.728,89","106.026,91","104.695,52","3,50M","1,23%"
"18.10.2019","104.728,89","105.011,71","105.464,25","104.524,97","4,48M","-0,27%"
"17.10.2019","105.015,77","105.388,63","105.891,19","104.826,61","4,19M","-0,39%"
"16.10.2019","105.422,80","104.485,87","105.462,07","103.521,08","4,51M","0,89%"
"15.10.2019","104.489,56","104.298,53","105.047,62","104.052,48","4,09M","0,18%"
"14.10.2019","104.301,58","103.833,59","104.304,85","103.438,47","2,99M","0,45%"
"11.10.2019","103.831,92","101.818,60","104.380,89","101.818,60","4,35M","1,98%"
"10.10.2019","101.817,13","101.243,74","102.482,98","101.152,12","4,37M","0,56%"
"09.10.2019","101.248,78","100.005,44","101.566,59","100.005,44","3,94M","1,27%"
"08.10.2019","99.981,40","100.564,60","101.296,28","99.867,59","4,34M","-0,59%"
"07.10.2019","100.572,77","102.546,02","102.546,02","100.541,89","3,94M","-1,93%"
"04.10.2019","102.551,32","101.516,04","102.579,55","101.057,36","4,65M","1,02%"
"03.10.2019","101.516,04","101.031,44","101.560,23","99.826,30","4,67M","0,48%"
"02.10.2019","101.031,44","104.049,12","104.049,12","100.943,82","5,07M","-2,90%"
"01.10.2019","104.053,40","104.745,06","105.121,16","103.837,47","4,10M","-0,66%"
"30.09.2019","104.745,32","105.077,45","105.177,50","104.638,18","3,90M","-0,32%"
"27.09.2019","105.077,63","105.319,40","105.632,94","104.505,69","3,47M","-0,23%"
"26.09.2019","105.319,40","104.485,18","105.342,30","104.337,39","4,14M","0,80%"
"25.09.2019","104.480,98","103.856,87","104.480,98","103.033,84","4,12M","0,58%"
"24.09.2019","103.875,66","104.637,51","104.892,90","103.503,53","3,97M","-0,73%"
"23.09.2019","104.637,82","104.817,39","104.817,39","104.019,50","6,77M","-0,17%"
"20.09.2019","104.817,40","104.339,16","105.044,50","103.913,50","6,77M","0,46%"
"19.09.2019","104.339,16","104.555,31","106.001,35","104.285,83","4,92M","-0,18%"
"18.09.2019","104.531,93","104.616,28","104.761,84","103.684,12","3,88M","-0,08%"
"17.09.2019","104.616,86","103.679,69","104.618,93","103.078,89","4,57M","0,90%"
"16.09.2019","103.680,41","103.495,52","104.004,61","102.782,33","6,04M","0,17%"
"13.09.2019","103.501,18","104.371,10","104.699,20","103.274,91","4,04M","-0,83%"
"12.09.2019","104.370,91","103.452,52","104.618,01","103.452,52","4,96M","0,89%"
"11.09.2019","103.445,60","103.035,89","104.155,86","103.035,89","4,88M","0,40%"
"10.09.2019","103.031,50","103.179,94","103.503,45","102.230,73","5,48M","-0,14%"
"09.09.2019","103.180,59","102.936,68","104.259,77","102.792,78","5,52M","0,24%"
"06.09.2019","102.935,43","102.246,83","103.181,64","102.245,98","3,98M","0,68%"
"05.09.2019","102.243,00","101.203,84","103.258,48","101.203,84","4,81M","1,03%"
"04.09.2019","101.200,89","99.705,69","101.200,89","99.705,69","4,31M","1,52%"
"03.09.2019","99.680,83","100.626,38","101.416,66","99.406,15","4,33M","-0,94%"
"02.09.2019","100.625,74","101.132,51","101.611,02","100.625,74","2,69M","-0,50%"
"30.08.2019","101.134,61","100.526,27","101.551,35","100.526,27","6,11M","0,61%"
"29.08.2019","100.524,43","98.194,11","100.683,87","98.194,11","5,16M","2,37%"
"28.08.2019","98.193,53","97.273,35","98.346,03","96.557,06","4,35M","0,94%"
"27.08.2019","97.276,19","96.434,30","97.950,98","95.855,30","6,58M","0,88%"
"26.08.2019","96.429,60","97.686,54","98.435,96","95.960,74","4,14M","-1,27%"
"23.08.2019","97.667,49","100.007,25","100.024,83","97.085,21","5,67M","-2,34%"
"22.08.2019","100.011,28","101.209,02","101.469,05","100.011,28","4,50M","-1,18%"
"21.08.2019","101.201,90","99.227,12","101.240,13","99.221,27","5,97M","2,00%"
"20.08.2019","99.222,25","99.471,93","99.664,75","98.002,03","5,24M","-0,25%"
"19.08.2019","99.468,67","99.809,52","100.947,60","98.908,19","4,92M","-0,34%"
"16.08.2019","99.805,78","99.059,12","100.566,93","99.059,12","5,48M","0,76%"
"15.08.2019","99.056,91","100.262,03","101.014,41","98.200,36","6,59M","-1,20%"
"14.08.2019","100.258,01","103.270,08","103.270,08","99.954,75","6,49M","-2,94%"
"13.08.2019","103.299,47","101.912,15","103.778,22","101.414,44","5,20M","1,36%"
"12.08.2019","101.915,22","103.945,84","103.945,84","101.621,22","4,51M","-2,00%"
"09.08.2019","103.996,16","104.101,95","104.848,18","103.546,67","4,69M","-0,11%"
"08.08.2019","104.115,23","102.782,37","104.281,89","102.782,37","5,71M","1,30%"
"07.08.2019","102.782,37","102.163,25","102.784,21","100.476,12","5,74M","0,61%"
"06.08.2019","102.163,69","100.097,51","102.178,08","100.097,51","5,23M","2,06%"
"05.08.2019","100.097,75","102.657,77","102.657,77","99.630,09","5,16M","-2,51%"
"02.08.2019","102.673,68","102.122,39","103.179,66","101.667,02","5,08M","0,54%"
"01.08.2019","102.125,94","101.818,93","104.055,69","101.818,93","7,35M","0,31%"
"31.07.2019","101.812,13","102.945,65","103.128,70","100.950,36","5,23M","-1,09%"
"30.07.2019","102.932,76","103.482,87","103.554,99","102.596,13","4,19M","-0,53%"
"29.07.2019","103.482,63","102.817,42","103.482,63","102.460,82","3,67M","0,65%"
