"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.09.2020","3.166,50","3.180,90","3.207,00","3.156,60","-","-1,53%"
"23.09.2020","3.215,63","3.252,21","3.266,11","3.215,63","31,12M","-0,16%"
"22.09.2020","3.220,88","3.259,43","3.260,26","3.220,88","33,06M","-0,42%"
"21.09.2020","3.234,31","3.337,88","3.339,22","3.230,90","56,48M","-4,19%"
"18.09.2020","3.375,86","3.399,17","3.399,78","3.374,71","59,13M","-0,42%"
"17.09.2020","3.390,18","3.359,82","3.402,51","3.350,88","25,65M","-0,08%"
"16.09.2020","3.392,90","3.362,74","3.392,90","3.355,12","24,22M","0,88%"
"15.09.2020","3.363,15","3.354,63","3.380,54","3.340,91","20,10M","0,28%"
"14.09.2020","3.353,62","3.369,36","3.374,34","3.339,83","18,96M","0,07%"
"11.09.2020","3.351,24","3.354,79","3.368,72","3.338,57","23,86M","-0,14%"
"10.09.2020","3.355,85","3.366,31","3.376,99","3.342,06","22,99M","-0,19%"
"09.09.2020","3.362,40","3.305,61","3.365,53","3.302,73","24,35M","1,79%"
"08.09.2020","3.303,23","3.370,13","3.374,89","3.283,93","27,06M","-1,67%"
"07.09.2020","3.359,38","3.327,22","3.366,96","3.327,22","16,01M","1,47%"
"04.09.2020","3.310,69","3.313,28","3.373,24","3.287,89","33,10M","-0,50%"
"03.09.2020","3.327,19","3.385,69","3.412,33","3.311,04","25,72M","-0,94%"
"02.09.2020","3.358,68","3.332,64","3.375,49","3.332,64","25,23M","1,34%"
"01.09.2020","3.314,23","3.353,19","3.365,87","3.297,40","23,28M","-0,55%"
"31.08.2020","3.332,53","3.398,08","3.410,91","3.330,93","25,81M","-1,36%"
"28.08.2020","3.378,60","3.381,30","3.390,24","3.348,21","24,08M","0,25%"
"27.08.2020","3.370,25","3.397,60","3.397,60","3.367,62","20,64M","-0,89%"
"26.08.2020","3.400,38","3.366,55","3.403,12","3.360,65","19,03M","0,92%"
"25.08.2020","3.369,52","3.387,18","3.411,54","3.367,35","29,41M","0,02%"
"24.08.2020","3.368,99","3.333,03","3.371,12","3.333,03","19,29M","2,00%"
"21.08.2020","3.302,92","3.351,20","3.355,85","3.288,15","23,83M","-1,04%"
"20.08.2020","3.337,62","3.339,37","3.359,35","3.326,20","17,79M","-1,13%"
"19.08.2020","3.375,60","3.388,86","3.403,59","3.331,42","18,03M","-0,52%"
"18.08.2020","3.393,24","3.412,34","3.442,29","3.388,92","18,53M","-0,96%"
"17.08.2020","3.426,17","3.430,70","3.440,72","3.406,47","13,77M","0,12%"
"14.08.2020","3.422,00","3.444,01","3.444,01","3.380,77","19,31M","-0,73%"
"13.08.2020","3.447,14","3.449,27","3.466,54","3.443,48","20,18M","-0,57%"
"12.08.2020","3.466,87","3.430,33","3.475,59","3.421,80","29,95M","0,97%"
"11.08.2020","3.433,60","3.386,55","3.436,72","3.386,55","33,70M","2,33%"
"10.08.2020","3.355,27","3.360,58","3.377,52","3.337,21","25,94M","0,45%"
"07.08.2020","3.340,10","3.308,16","3.343,30","3.281,18","28,08M","0,95%"
"06.08.2020","3.308,63","3.329,76","3.337,51","3.285,23","38,91M","-0,66%"
"05.08.2020","3.330,49","3.334,94","3.355,32","3.319,18","20,13M","0,29%"
"04.08.2020","3.320,71","3.342,76","3.358,65","3.307,64","23,96M","-0,07%"
"03.08.2020","3.322,99","3.271,29","3.323,49","3.249,24","24,11M","1,52%"
"31.07.2020","3.273,37","3.335,59","3.350,29","3.273,37","28,73M","-2,01%"
"30.07.2020","3.340,48","3.442,25","3.456,10","3.308,48","38,71M","-1,91%"
"29.07.2020","3.405,62","3.435,78","3.451,74","3.400,96","24,23M","-0,90%"
"28.07.2020","3.436,70","3.412,33","3.439,15","3.399,69","23,92M","0,86%"
"27.07.2020","3.407,46","3.419,50","3.425,11","3.398,17","20,36M","-0,81%"
"24.07.2020","3.435,43","3.455,05","3.455,27","3.415,89","19,00M","-1,62%"
"23.07.2020","3.492,06","3.509,02","3.516,53","3.484,25","21,30M","-0,27%"
"22.07.2020","3.501,65","3.535,53","3.551,08","3.492,77","25,72M","-1,45%"
"21.07.2020","3.553,27","3.550,36","3.593,99","3.542,21","38,47M","0,75%"
"20.07.2020","3.526,91","3.470,11","3.529,25","3.442,88","23,24M","1,02%"
"17.07.2020","3.491,16","3.489,76","3.499,40","3.471,50","27,60M","-0,23%"
"16.07.2020","3.499,30","3.472,99","3.506,56","3.465,60","25,67M","-0,04%"
"15.07.2020","3.500,87","3.482,36","3.533,37","3.460,09","36,15M","1,25%"
"14.07.2020","3.457,77","3.433,26","3.457,77","3.411,59","26,81M","-0,59%"
"13.07.2020","3.478,27","3.473,40","3.479,92","3.449,98","23,80M","1,05%"
"10.07.2020","3.442,06","3.377,78","3.442,06","3.374,59","29,26M","1,43%"
"09.07.2020","3.393,61","3.433,89","3.443,10","3.389,10","32,12M","-0,74%"
"08.07.2020","3.418,91","3.441,91","3.452,80","3.414,14","33,84M","-1,27%"
"07.07.2020","3.462,83","3.458,79","3.468,22","3.441,46","26,57M","-0,30%"
"06.07.2020","3.473,18","3.444,43","3.473,92","3.433,23","33,26M","2,36%"
"03.07.2020","3.393,25","3.406,23","3.411,70","3.374,67","21,79M","-0,27%"
"02.07.2020","3.402,46","3.363,60","3.421,75","3.357,61","38,43M","2,11%"
"01.07.2020","3.331,99","3.334,87","3.364,09","3.300,07","30,85M","0,12%"
"30.06.2020","3.328,01","3.332,90","3.343,46","3.298,91","32,46M","0,05%"
"29.06.2020","3.326,33","3.284,14","3.345,64","3.266,55","31,30M","0,66%"
"26.06.2020","3.304,54","3.381,50","3.386,30","3.303,80","33,40M","-1,56%"
"25.06.2020","3.357,00","3.284,91","3.361,47","3.258,64","32,96M","1,68%"
"24.06.2020","3.301,53","3.406,98","3.410,47","3.301,53","32,76M","-3,85%"
"23.06.2020","3.433,88","3.404,65","3.457,70","3.395,04","35,54M","1,50%"
"22.06.2020","3.383,27","3.349,29","3.413,24","3.339,57","32,81M","0,20%"
"19.06.2020","3.376,57","3.437,55","3.439,03","3.376,57","112,35M","-1,10%"
"18.06.2020","3.413,96","3.429,80","3.477,88","3.383,10","41,97M","-0,78%"
"17.06.2020","3.440,91","3.440,38","3.493,25","3.420,28","41,39M","-0,20%"
"16.06.2020","3.447,65","3.405,06","3.495,34","3.388,73","51,41M","3,24%"
"15.06.2020","3.339,35","3.225,76","3.352,37","3.225,76","48,43M","1,30%"
"12.06.2020","3.296,63","3.240,55","3.353,89","3.215,29","49,36M","0,76%"
"11.06.2020","3.271,68","3.355,32","3.358,93","3.271,68","57,63M","-4,97%"
"10.06.2020","3.442,66","3.497,49","3.533,69","3.433,22","42,66M","-1,28%"
"09.06.2020","3.487,33","3.531,75","3.543,40","3.445,25","62,35M","-1,35%"
"08.06.2020","3.535,11","3.515,51","3.565,84","3.511,41","57,62M","-0,14%"
"05.06.2020","3.540,00","3.481,39","3.544,66","3.478,66","69,04M","2,61%"
"04.06.2020","3.449,89","3.412,57","3.469,36","3.392,97","60,88M","0,66%"
"03.06.2020","3.427,24","3.341,19","3.427,24","3.340,14","54,09M","3,22%"
"02.06.2020","3.320,42","3.288,84","3.332,61","3.269,31","46,68M","1,60%"
"01.06.2020","3.268,03","3.253,46","3.269,86","3.231,54","31,14M","2,03%"
"29.05.2020","3.202,95","3.243,54","3.257,97","3.194,71","65,35M","-2,41%"
"28.05.2020","3.281,90","3.263,31","3.294,97","3.251,76","48,37M","1,48%"
"27.05.2020","3.234,07","3.182,79","3.262,81","3.177,23","65,31M","2,17%"
"26.05.2020","3.165,46","3.041,98","3.175,61","3.038,91","47,10M","5,38%"
"25.05.2020","3.003,88","2.979,94","3.003,88","2.965,35","19,63M","1,39%"
"22.05.2020","2.962,73","2.905,19","2.979,41","2.891,84","40,34M","0,75%"
"21.05.2020","2.940,62","2.933,84","2.977,23","2.921,57","33,54M","-1,81%"
"20.05.2020","2.994,70","2.944,40","2.998,08","2.912,02","43,19M","1,14%"
"19.05.2020","2.960,89","3.048,82","3.056,41","2.936,37","46,54M","-2,17%"
"18.05.2020","3.026,69","2.970,73","3.029,29","2.948,83","43,44M","3,22%"
"15.05.2020","2.932,21","2.939,56","2.959,01","2.891,15","46,17M","1,13%"
"14.05.2020","2.899,51","2.917,04","2.939,06","2.852,89","50,10M","-2,50%"
"13.05.2020","2.973,77","3.024,30","3.029,68","2.973,77","39,51M","-3,07%"
"12.05.2020","3.067,80","3.050,09","3.078,90","3.045,37","37,41M","0,25%"
"11.05.2020","3.060,00","3.079,55","3.088,16","3.029,04","29,99M","0,04%"
"08.05.2020","3.058,66","3.101,29","3.101,29","3.047,23","41,09M","0,20%"
"07.05.2020","3.052,55","3.012,98","3.059,65","3.012,65","32,03M","1,80%"
"06.05.2020","2.998,46","3.013,59","3.036,54","2.989,61","33,22M","-0,26%"
"05.05.2020","3.006,29","3.012,52","3.020,12","2.962,39","37,19M","1,83%"
"04.05.2020","2.952,22","3.018,78","3.018,78","2.944,72","49,80M","-4,74%"
"30.04.2020","3.099,12","3.198,05","3.210,51","3.086,99","55,52M","-3,03%"
"29.04.2020","3.196,12","3.125,86","3.199,17","3.119,40","41,59M","2,40%"
"28.04.2020","3.121,32","3.040,33","3.122,12","3.033,83","48,35M","2,80%"
"27.04.2020","3.036,44","3.005,43","3.036,44","3.003,59","29,80M","3,18%"
"24.04.2020","2.942,98","2.968,64","2.987,47","2.938,94","40,43M","-2,48%"
"23.04.2020","3.017,76","2.970,99","3.038,18","2.940,82","31,97M","2,28%"
"22.04.2020","2.950,37","2.943,09","2.951,24","2.915,95","31,43M","1,45%"
"21.04.2020","2.908,09","2.983,53","2.983,53","2.908,09","35,72M","-3,76%"
